"description","regex"
"Search for a string made of two letters followed by four digits.","^[A-Za-z]{2}[0-9]{4}$"
"Search for a string that ends with the word 'beta'.","^.*beta$"
"Check if the input is a string of between five and ten digits.","^[0-9]{5,10}$"
"Extract a string of four letters and four digits separated by a dot.","^[A-Za-z]{4}\.[0-9]{4}$"
"Capture a string where the substring 'config' is immediately followed by a three-digit id.","^.*config\d{3}.*$"
"Identify a string of between three and five alphanumeric characters.","^[A-Za-z0-9]{3,5}$"
"Capture a string of two uppercase letters and three digits separated by a underscore.","^[A-Z]{2}_[0-9]{3}$"
"Detect a string where one or more digits come immediately before the word 'session'.","^.*\d+session.*$"
"Find a string of at least three letters.","^[A-Za-z]{3,}$"
"Test whether the input is a string of exactly twelve letters.","^[A-Za-z]{12}$"
"Search for a string of two lowercase letters and three digits separated by a slash.","^[a-z]{2}/[0-9]{3}$"
"Test whether the input is a string where one or more digits come immediately before the word 'month'.","^.*\d+month.*$"
"Check if the input is a string of at least three digits.","^[0-9]{3,}$"
"Test whether the input is a string containing the standalone whole word 'order'.","^.*\border\b.*$"
"Test whether the input is a string containing the substring 'test'.","^.*test.*$"
"Validate a string containing the standalone whole word 'session'.","^.*\bsession\b.*$"
"Check if the input is a string where one or more digits come immediately before the word 'total'.","^.*\d+total.*$"
"Identify a string of between five and ten hexadecimal digits.","^[0-9A-Fa-f]{5,10}$"
"Find a string of exactly five letters.","^[A-Za-z]{5}$"
"Search for a string that starts with the word 'data'.","^data.*$"
"Extract a string of two letters and three digits separated by a dot.","^[A-Za-z]{2}\.[0-9]{3}$"
"a number written in scientific notation","^[+-]?\d+(?:\.\d+)?[eE][+-]?\d+$"
"Capture a string where the substring 'day' is immediately followed by a six-digit id.","^.*day\d{6}.*$"
"Detect a string that ends with the word 'test'.","^.*test$"
"Test whether the input is a string of at least three hexadecimal digits.","^[0-9A-Fa-f]{3,}$"
"Detect a string where the substring 'graph' is immediately followed by a five-digit id.","^.*graph\d{5}.*$"
"Find a string of one or more digits.","^[0-9]+$"
"Validate a string where the substring 'profile' is immediately followed by a five-digit id.","^.*profile\d{5}.*$"
"Match a string containing the same digit repeated two times in a row.","^.*(\d)\1{1}.*$"
"Find a string of word characters that does not start with the word 'Ticket', using a negative lookahead.","^(?!Ticket)\w+$"
"Check if the input is a string that ends with the word 'status'.","^.*status$"
"Extract a string of three lowercase letters and three digits separated by a hyphen.","^[a-z]{3}-[0-9]{3}$"
"Identify a string where the substring 'alpha' is immediately followed by a six-digit id.","^.*alpha\d{6}.*$"
"Identify a string containing the substring 'login'.","^.*login.*$"
"Extract a string where the substring 'token' is immediately followed by a four-digit id.","^.*token\d{4}.*$"
"Validate a string where the substring 'city' is immediately followed by a three-digit id.","^.*city\d{3}.*$"
"Extract a string that ends with the word 'job'.","^.*job$"
"Extract a string of exactly four word characters.","^\w{4}$"
"Test whether the input is a string where the substring 'login' is immediately followed by a two-digit id.","^.*login\d{2}.*$"
"Match a string containing the substring 'order'.","^.*order.*$"
"Extract a string that is exactly the word 'cache'.","^cache$"
"Search for a string of four lowercase letters and two digits separated by a hyphen.","^[a-z]{4}-[0-9]{2}$"
"Find a string where the substring 'level' is immediately followed by a five-digit id.","^.*level\d{5}.*$"
"Validate a string containing the standalone whole word 'total'.","^.*\btotal\b.*$"
"Search for a string of exactly three lowercase letters.","^[a-z]{3}$"
"Search for a string where the substring 'amount' is immediately followed by a four-digit id.","^.*amount\d{4}.*$"
"Extract a string made of one uppercase letter followed by three lowercase letters.","^[A-Z]{1}[a-z]{3}$"
"Detect a string where the substring 'data' is immediately followed by a two-digit id.","^.*data\d{2}.*$"
"Match a string where the substring 'phone' is immediately followed by a two-digit id.","^.*phone\d{2}.*$"
"Extract a string of between two and four hexadecimal digits.","^[0-9A-Fa-f]{2,4}$"
"Test whether the input is a string of between two and four letters.","^[A-Za-z]{2,4}$"
"Extract a string where the substring 'minute' is immediately followed by a five-digit id.","^.*minute\d{5}.*$"
"Match a string made of four uppercase letters followed by three digits.","^[A-Z]{4}[0-9]{3}$"
"Detect a string where the substring 'country' is immediately followed by a five-digit id.","^.*country\d{5}.*$"
"Capture a string of between two and six letters.","^[A-Za-z]{2,6}$"
"Validate a string where the substring 'level' is immediately followed by a five-digit id.","^.*level\d{5}.*$"
"Find a string containing the standalone whole word 'flag'.","^.*\bflag\b.*$"
"Detect a string where the substring 'gamma' is immediately followed by a four-digit id.","^.*gamma\d{4}.*$"
"Match a string where the substring 'stack' is immediately followed by a six-digit id.","^.*stack\d{6}.*$"
"Check if the input is a string made of one uppercase letter followed by one lowercase letter.","^[A-Z]{1}[a-z]{1}$"
"Extract a string where the word 'hour' is followed by one or more digits.","^.*hour\d+.*$"
"Test whether the input is a string that starts with the word 'invoice'.","^invoice.*$"
"Search for a string made of one letter followed by two digits.","^[A-Za-z]{1}[0-9]{2}$"
"Detect a string made of four letters followed by four digits.","^[A-Za-z]{4}[0-9]{4}$"
"Identify a string that ends with the word 'graph'.","^.*graph$"
"Test whether the input is a string where the substring 'country' is immediately followed by a six-digit id.","^.*country\d{6}.*$"
"Capture a string containing the standalone whole word 'beta'.","^.*\bbeta\b.*$"
"Identify a string containing the substring 'amount'.","^.*amount.*$"
"Detect a string of word characters that does not start with the word 'Cache', using a negative lookahead.","^(?!Cache)\w+$"
"Extract a string where the substring 'state' is immediately followed by a five-digit id.","^.*state\d{5}.*$"
"Match a string of at least five uppercase letters.","^[A-Z]{5,}$"
"Match a string that ends with the word 'date'.","^.*date$"
"Check if the input is a string where the substring 'month' is immediately followed by a six-digit id.","^.*month\d{6}.*$"
"Find a string where the substring 'token' is immediately followed by a four-digit id.","^.*token\d{4}.*$"
"Search for a string containing the substring 'address'.","^.*address.*$"
"Extract a string made of two uppercase letters followed by two digits.","^[A-Z]{2}[0-9]{2}$"
"Search for a string of three uppercase letters and two digits separated by a slash.","^[A-Z]{3}/[0-9]{2}$"
"Find a string that is exactly the word 'hour'.","^hour$"
"Search for a string where the substring 'ticket' is immediately followed by a six-digit id.","^.*ticket\d{6}.*$"
"Find a string that is exactly the word 'beta'.","^beta$"
"Find a string made of four letters followed by one digit.","^[A-Za-z]{4}[0-9]{1}$"
"Check if the input is a string where the substring 'price' is immediately followed by a four-digit id.","^.*price\d{4}.*$"
"Find a string where one or more digits come immediately before the word 'cache'.","^.*\d+cache.*$"
"Match a string that is exactly the word 'total'.","^total$"
"Extract a string of word characters that does not start with the word 'Temp', using a negative lookahead.","^(?!Temp)\w+$"
"Search for a string made of one uppercase letter followed by one digit.","^[A-Z]{1}[0-9]{1}$"
"Validate a string containing the substring 'phone'.","^.*phone.*$"
"Validate a string where the substring 'hour' is immediately followed by a five-digit id.","^.*hour\d{5}.*$"
"Search for a string of word characters that does not start with the word 'Session', using a negative lookahead.","^(?!Session)\w+$"
"Extract a string of at least three letters.","^[A-Za-z]{3,}$"
"Check if the input is a string that ends with the word 'cache'.","^.*cache$"
"Validate a string of between five and ten digits.","^[0-9]{5,10}$"
"Test whether the input is a string where the substring 'test' is immediately followed by a five-digit id.","^.*test\d{5}.*$"
"Test whether the input is a string where the substring 'alpha' is immediately followed by a three-digit id.","^.*alpha\d{3}.*$"
"Capture a string of zero or more digits.","^[0-9]*$"
"Validate a string of three lowercase letters and two digits separated by a underscore.","^[a-z]{3}_[0-9]{2}$"
"Find a string of at least five uppercase letters.","^[A-Z]{5,}$"
"Match a string containing the substring 'error'.","^.*error.*$"
"Validate a string of exactly one punctuation mark.","^[.,;:!?]$"
"Extract a string that is exactly the word 'date'.","^date$"
"Identify a string that ends with the word 'node'.","^.*node$"
"Extract a string containing the substring 'profile'.","^.*profile.*$"
"Validate a string of at least eight word characters.","^\w{8,}$"
"Extract a string where the substring 'minute' is immediately followed by a three-digit id.","^.*minute\d{3}.*$"
"Capture a string where the substring 'total' is immediately followed by a five-digit id.","^.*total\d{5}.*$"
"Match a string containing the substring 'level'.","^.*level.*$"
"Capture a string of exactly eight word characters.","^\w{8}$"
"Match a string where the word 'status' is followed by one or more digits.","^.*status\d+.*$"
"Capture a string made of four lowercase letters followed by three digits.","^[a-z]{4}[0-9]{3}$"
"Search for a string where one or more digits come immediately before the word 'alpha'.","^.*\d+alpha.*$"
"Identify a string where the substring 'ticket' is immediately followed by a six-digit id.","^.*ticket\d{6}.*$"
"Detect a string where the word 'task' is followed by one or more digits.","^.*task\d+.*$"
"Find a string containing the substring 'gamma'.","^.*gamma.*$"
"Identify a string where the substring 'beta' is immediately followed by a five-digit id.","^.*beta\d{5}.*$"
"Check if the input is a string containing the substring 'alpha'.","^.*alpha.*$"
"Check if the input is a string where one or more digits come immediately before the word 'error'.","^.*\d+error.*$"
"Capture a string containing the substring 'phone'.","^.*phone.*$"
"Search for a string of exactly seven lowercase letters.","^[a-z]{7}$"
"Test whether the input is a string of four lowercase letters and three digits separated by a dot.","^[a-z]{4}\.[0-9]{3}$"
"Check if the input is a string made of two uppercase letters followed by four digits.","^[A-Z]{2}[0-9]{4}$"
"Check if the input is a string that is exactly the word 'hour'.","^hour$"
"Detect a string containing the substring 'invoice'.","^.*invoice.*$"
"Match a string of four letters and three digits separated by a underscore.","^[A-Za-z]{4}_[0-9]{3}$"
"Check if the input is a string of two lowercase letters and three digits separated by a slash.","^[a-z]{2}/[0-9]{3}$"
